Year,N2000
1971,231
1972,228
1973,226
1974,223
1975,221
1976,218
1977,216
1978,213
1979,211
1980,208
1981,206
1982,203
1983,201
1984,198
1985,196
1986,193
1987,191
1988,188
1989,186
1990,183
1991,181
1992,179
1993,180
1994,180
1995,181
1996,182
1997,183
1998,184
1999,185
2000,186
2001,186
2002,187
2003,188
2004,189
2005,190
2006,191
2007,192
2008,193
2009,194
2010,195
2011,196
2012,197
2013,198
2014,199
2015,200
2016,201
2017,202
2018,203
2019,204
