Year,N2000
1971,380
1972,373
1973,366
1974,359
1975,352
1976,344
1977,337
1978,330
1979,323
1980,316
1981,309
1982,302
1983,295
1984,288
1985,281
1986,273
1987,266
1988,259
1989,252
1990,245
1991,238
1992,231
1993,227
1994,223
1995,220
1996,216
1997,212
1998,208
1999,204
2000,200
2001,196
2002,192
2003,188
2004,184
2005,181
2006,175
2007,169
2008,163
2009,157
2010,151
2011,145
2012,140
2013,134
2014,128
2015,122
2016,116
2017,110
2018,105
2019,99
