1971,-341.74095306341815
1972,-424.2273425499232
1973,-273.23508530859954
1974,-353.4194876486734
1975,-269.53673938002294
1976,-412.4744990892532
1977,-367.6359589041096
1978,-375.9337899543379
1979,-333.01906392694065
1980,-406.88000910746814
1981,-260.0029680365297
1982,-236.9914383561644
1983,-143.1458904109589
1984,-310.18533697632057
1985,-318.2215843857635
1986,-256.263698630137
1987,-302.8182648401826
1988,-204.45719489981786
1989,-62.617351598173514
1990,-93.17899543378995
1991,-217.33767123287672
1992,-147.8637295081967
1993,-214.67659817351597
1994,-194.20456621004567
1995,-138.04143835616438
1996,-363.1931921675774
1997,-222.04406392694065
1998,-160.02545662100457
1999,42.12796803652968
2000,-128.5812364795628
2001,-212.77317351598174
2002,-229.51061643835615
2003,-210.93995433789954
2004,-118.334927140255
2005,-113.60559360730593
2006,-182.51837899543378
2007,-20.953424657534246
2008,-93.41495901639344
2009,-193.18641552511414
2010,-465.712899543379
2011,-67.57609316131979
2012,-76.53882058287796
2013,-187.25262557077625
2014,-187.71849315068494
2015,30.678310502283104
2016,-141.05954007285973
2017,-13.994292237442922
2018,-144.26872146118723
2019,-111.40186403508773
