Year,N2000
1971,269
1972,264
1973,260
1974,255
1975,251
1976,247
1977,242
1978,238
1979,233
1980,229
1981,225
1982,220
1983,216
1984,211
1985,207
1986,203
1987,198
1988,194
1989,189
1990,185
1991,181
1992,177
1993,176
1994,174
1995,173
1996,172
1997,171
1998,170
1999,169
2000,168
2001,166
2002,165
2003,164
2004,163
2005,162
2006,161
2007,160
2008,159
2009,158
2010,157
2011,156
2012,155
2013,154
2014,154
2015,153
2016,152
2017,151
2018,150
2019,149
