1971,-236.80743598737286
1972,-325.7587659380692
1973,-176.80376712328768
1974,-236.8433789954338
1975,-204.0126712328767
1976,-305.21778233151184
1977,-255.42157534246576
1978,-251.98127853881277
1979,-243.91107305936072
1980,-261.6837431693989
1981,-120.25981735159817
1982,-178.4466894977169
1983,-57.790068493150685
1984,-209.18545081967213
1985,-205.62408675799088
1986,-170.288698630137
1987,-209.10148401826484
1988,-123.0132058287796
1989,-15.27134703196347
1990,-11.015867579908676
1991,-151.10924657534247
1992,-86.97244990892531
1993,-166.50239726027397
1994,-142.26232876712328
1995,-94.46575342465754
1996,-302.8213797814208
1997,-145.1480593607306
1998,-92.78607305936073
1999,181.53584474885844
2000,-100.87077308436753
2001,-151.1821917808219
2002,-175.13025114155252
2003,-185.62408675799088
2004,-104.62784608378871
2005,-122.68070776255708
2006,-166.31050228310502
2007,-15.515296803652967
2008,-72.49612932604735
2009,-200.87785388127853
2010,-276.77020547945204
2011,-102.56524717433497
2012,-88.81944444444444
2013,-207.2404109589041
2014,-242.14794520547946
2015,-50.83527397260274
2016,-182.98929872495447
2017,-66.47545662100457
2018,-233.1587899543379
2019,-143.6577576754386
